Reporter Name,Partner Name,Trade Flow,Indicator,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 World,Cura?ao,Import,Import Partner Share (%),,,,,,,,,,,,,,,,,,,,,,,0,0.0213,0.0242,0.0221,0.0149,0.0107,0.0101,0.0075,0.003
 World,Cyprus,Import,Import Partner Share (%),0.015,0.0166,0.0195,0.0113,0.0147,0.0238,0.017,0.0202,0.0258,0.0152,0.0171,0.0175,0.0148,0.0157,0.0157,0.0171,0.0191,0.0215,0.0382,0.0286,0.0237,0.0234,0.0241,0.0287,0.0316,0.0297,0.0198,0.0219,0.0177,0.0177,0.0171
 World,Czech Republic,Import,Import Partner Share (%),,,,,,0.2449,0.3523,0.3768,0.3948,0.3963,0.4643,0.4553,0.449,0.523,0.5765,0.6402,0.627,0.6431,0.6906,0.7797,0.7959,0.8244,0.7837,0.7988,0.7647,0.7921,0.8444,0.8699,0.9363,0.9284,0.9525
 World,Czechoslovakia,Import,Import Partner Share (%),0.2792,0.2557,0.2438,0.2328,0.3281,,,,,,,,,,,,,,,,,,,,,,,,,,
 World,Denmark,Import,Import Partner Share (%),1.1793,0.8624,0.9137,0.7832,0.9579,0.7675,0.8664,0.8624,0.8416,0.7734,0.7712,0.7508,0.6802,0.7215,0.7477,0.7704,0.7342,0.7275,0.6961,0.667,0.6482,0.6865,0.5796,0.5754,0.5332,0.535,0.529,0.5213,0.5311,0.5121,0.5267
 World,Djibouti,Import,Import Partner Share (%),0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0003,0.001,0.0004,0.0004,0.0005,0.0003,0.0002,0.001,0.0012,0.001,0.0004,0.0009,0.0017,0.0015,0.0017,0.0016,0.0008,0.0007,0.0007,0.0007,0.0008,0.0009,0.0007,0.0009,0.0008
 World,Dominica,Import,Import Partner Share (%),0.0008,0.005,0.0029,0.003,0.0025,0.0035,0.0028,0.002,0.0019,0.0017,0.0017,0.0021,0.0016,0.0013,0.001,0.0009,0.0008,0.0008,0.0007,0.0007,0.0006,0.001,0.0004,0.0005,0.0005,0.0004,0.0005,0.0006,0.0004,0.0004,0.0006
 World,Dominican Republic,Import,Import Partner Share (%),0.0162,0.0175,0.0119,0.1142,0.1056,0.1034,0.0944,0.0844,0.0835,0.0937,0.0958,0.0868,0.0775,0.0767,0.0755,0.0701,0.0622,0.0566,0.0522,0.0474,0.0415,0.0433,0.0407,0.0396,0.043,0.0455,0.0497,0.0537,0.0581,0.0522,0.0511
 World,East Timor,Import,Import Partner Share (%),0,0,0,0,0,0,0.0001,0,0,0,0,0,0.0006,0.0001,0.0003,0.0001,0.0006,0.0007,0.0003,0.0002,0.0011,0.0008,0.0005,0.0009,0.0037,0.0047,0.0007,0.0021,0.0004,0.0006,0.0004
 World,Ecuador,Import,Import Partner Share (%),0.0767,0.0449,0.0504,0.1409,0.1261,0.1073,0.1181,0.1109,0.1088,0.1131,0.0984,0.1008,0.0964,0.0963,0.0963,0.0981,0.107,0.1186,0.1218,0.1152,0.1379,0.129,0.1265,0.1331,0.1477,0.1511,0.1512,0.1282,0.116,0.1163,0.1188
 World,"Egypt, Arab Rep.",Import,Import Partner Share (%),0.1182,0.1022,0.1035,0.0935,0.1168,0.1127,0.1365,0.1203,0.1173,0.1044,0.0937,0.0953,0.0935,0.0907,0.1077,0.1133,0.1268,0.1387,0.174,0.1795,0.1915,0.1933,0.1858,0.1889,0.1812,0.1653,0.1555,0.1499,0.1507,0.165,0.1621
 World,El Salvador,Import,Import Partner Share (%),0.0312,0.0151,0.0111,0.0253,0.021,0.0295,0.0356,0.0355,0.0378,0.0455,0.0504,0.0466,0.0433,0.0488,0.0476,0.0428,0.036,0.0326,0.0264,0.0291,0.0261,0.0307,0.0299,0.0309,0.0289,0.0263,0.0272,0.0331,0.0337,0.0323,0.0224
 World,Equatorial Guinea,Import,Import Partner Share (%),0.0009,0.0022,0.0022,0.0012,0.0012,0.0014,0.0014,0.0023,0.0038,0.0073,0.0084,0.0123,0.0195,0.0295,0.0294,0.036,0.0462,0.0632,0.0695,0.0679,0.0994,0.0742,0.0633,0.0736,0.0863,0.0791,0.07,0.0409,0.0295,0.0316,0.0359
 World,Eritrea,Import,Import Partner Share (%),,,,,,0.0001,0.0001,0.0002,0.0006,0.0009,0.0006,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0003,0.0002,0.0006,0.0002,0.0003,0.0001,0.002,0.0033,0.0018,0.0032,0.0029,0.0024,0.0025,0.0027
 World,Estonia,Import,Import Partner Share (%),,,,,0.0092,0.0126,0.0245,0.0356,0.044,0.0522,0.0566,0.0544,0.0717,0.0665,0.0645,0.0678,0.074,0.0777,0.078,0.0711,0.0656,0.0618,0.0687,0.0858,0.075,0.0768,0.0912,0.0769,0.0861,0.0794,0.0806
 World,Eswatini,Import,Import Partner Share (%),,,,,,,,,,,,,0.0049,0.0061,0.0078,0.0079,0.0082,0.0082,0.008,0.0074,0.0068,0.0074,0.013,0.01,0.012,0.0127,0.0124,0.0107,0.0105,0.0112,0.0103
 World,Ethiopia(excludes Eritrea),Import,Import Partner Share (%),,,,,,0.006,0.0083,0.0105,0.0091,0.0102,0.0109,0.0071,0.0067,0.0058,0.0059,0.0062,0.0064,0.0081,0.0091,0.0086,0.0094,0.0121,0.0111,0.0119,0.013,0.0127,0.0154,0.0183,0.0168,0.0156,0.0137
 World,Ethiopia(includes Eritrea),Import,Import Partner Share (%),0.0226,0.0165,0.0102,0.0075,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,
 World,Faeroe Islands,Import,Import Partner Share (%),0.0074,0.0196,0.0196,0.0152,0.0137,0.0117,0.0092,0.0076,0.0081,0.0076,0.0079,0.0074,0.0064,0.0084,0.0078,0.0078,0.0068,0.0055,0.0059,0.0057,0.0062,0.0057,0.0054,0.006,0.0054,0.007,0.0077,0.0075,0.0091,0.0087,0.0079
 World,Falkland Island,Import,Import Partner Share (%),0.0003,0.0003,0.0004,0.0004,0.0001,0.0003,0.0004,0.0006,0.001,0.0012,0.002,0.002,0.0014,0.0013,0.0014,0.002,0.0015,0.0016,0.0013,0.0013,0.0012,0.0012,0.0012,0.001,0.0012,0.0011,0.0011,0.0013,0.0016,0.0012,0.0016
 World,Fiji,Import,Import Partner Share (%),0.0113,0.0184,0.016,0.0125,0.0115,0.0152,0.0136,0.0122,0.0126,0.0102,0.0105,0.0111,0.009,0.0085,0.0079,0.0079,0.0074,0.0065,0.0058,0.0048,0.0046,0.0053,0.005,0.0046,0.0043,0.004,0.0043,0.0045,0.0043,0.0042,0.0034
 World,Finland,Import,Import Partner Share (%),0.631,0.5839,0.5951,0.4777,0.6064,0.6558,0.712,0.7386,0.7136,0.7118,0.7448,0.7267,0.6937,0.6951,0.6742,0.668,0.6587,0.6618,0.658,0.6551,0.6168,0.5468,0.477,0.4625,0.422,0.4194,0.4205,0.4062,0.4062,0.4194,0.4281
 World,Fm Sudan,Import,Import Partner Share (%),0.0332,0.0201,0.0142,0.0125,0.0093,0.0104,0.0119,0.0111,0.0092,0.0082,0.011,0.012,0.0284,0.0309,0.0341,0.0363,0.0435,0.0511,0.0503,0.0623,0.0827,0.0664,0.0717,0.0868,,,,,,,
 World,Fr. So. Ant. Tr,Import,Import Partner Share (%),,,0,0,0,0,0,0,0,0.0004,0,0.0001,0,0,0,0.0001,0.0001,0.0002,0,0,0.0001,0,0,0,0,0,0.0001,0,0.0001,0.0001,0.0001
