LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1975-Q4,Q4-1975,PC,Percentage,0,Units,,,-1.51479163,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1976-Q1,Q1-1976,PC,Percentage,0,Units,,,4.422885417,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1976-Q2,Q2-1976,PC,Percentage,0,Units,,,0.308446517,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1976-Q3,Q3-1976,PC,Percentage,0,Units,,,0.810339065,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1976-Q4,Q4-1976,PC,Percentage,0,Units,,,0.872345755,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1977-Q1,Q1-1977,PC,Percentage,0,Units,,,-0.5448835,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1977-Q2,Q2-1977,PC,Percentage,0,Units,,,1.418877236,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1977-Q3,Q3-1977,PC,Percentage,0,Units,,,-0.426514888,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1977-Q4,Q4-1977,PC,Percentage,0,Units,,,-0.313438589,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1978-Q1,Q1-1978,PC,Percentage,0,Units,,,0.705448073,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1978-Q2,Q2-1978,PC,Percentage,0,Units,,,0.820034337,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1978-Q3,Q3-1978,PC,Percentage,0,Units,,,1.516795401,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1978-Q4,Q4-1978,PC,Percentage,0,Units,,,0.829523095,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1979-Q1,Q1-1979,PC,Percentage,0,Units,,,2.73694703,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1979-Q2,Q2-1979,PC,Percentage,0,Units,,,-1.602246561,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1979-Q3,Q3-1979,PC,Percentage,0,Units,,,0.929783629,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1979-Q4,Q4-1979,PC,Percentage,0,Units,,,1.929123295,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1980-Q1,Q1-1980,PC,Percentage,0,Units,,,0.44885424,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1980-Q2,Q2-1980,PC,Percentage,0,Units,,,0.260045693,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1980-Q3,Q3-1980,PC,Percentage,0,Units,,,0.526114727,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1980-Q4,Q4-1980,PC,Percentage,0,Units,,,1.723425249,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1981-Q1,Q1-1981,PC,Percentage,0,Units,,,0.386034592,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1981-Q2,Q2-1981,PC,Percentage,0,Units,,,1.551258112,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1981-Q3,Q3-1981,PC,Percentage,0,Units,,,2.00910365,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1981-Q4,Q4-1981,PC,Percentage,0,Units,,,-0.399578992,,
